rule_id,rule_text;
R1,grant create on nodes (d:Document) to Doctor;
R2,deny traverse on nodes (d:Document) to Doctor;
R3,grant traverse on nodes (d:Document) where d.status = published to Doctor;
R4,grant add{confidential} on nodes (d:Document) to Doctor;
R5,deny read{confidential} on nodes (d:Document) to Doctor;
R6,grant read{title} on nodes (d:Document) to Doctor;
R7,grant create on nodes (p:Project) to Manager;
R8,deny traverse on nodes (p:Project) where p.budget > 10000 to Manager;
R9,grant traverse on nodes (p:Project) where p.budget <= 10000 to Manager;
R10,grant add{deadline} on nodes (t:Task) to Engineer;
R11,deny read{deadline} on nodes (t:Task) to Engineer;
R12,grant create on nodes (t:Task) where t.priority = high to Engineer;
R13,deny traverse on nodes (t:Task) to Engineer;
R14,grant traverse on nodes (t:Task) to Engineer;
R15,grant add{deadline} on nodes (t:Task) where t.priority = high to Engineer;
R16,grant read{deadline} on nodes (t:Task) to Engineer;
R17,grant add{owner} on nodes (t:Task) to Engineer;
R18,deny read{owner} on nodes (t:Task) where t.confidential = true to Engineer;
R19,grant create on nodes (r:Report) to Analyst;
R20,deny traverse on nodes (r:Report) where r.level = secret to Analyst;
R21,grant traverse on nodes (r:Report) where r.level = public to Analyst;
R22,grant add{summary} on nodes (r:Report) to Analyst;
R23,grant read{summary} on nodes (r:Report) where r.level = public to Analyst;
R24,deny read{summary} on nodes (r:Report) to Analyst;
R25,grant create on nodes (u:User) to Admin;
R26,grant traverse on nodes (u:User) to Admin;
R27,grant add{role} on nodes (u:User) to Admin;
R28,grant read{role} on nodes (u:User) to Admin;
R29,grant add{email} on nodes (u:User) to Admin;
R30,deny read{email} on nodes (u:User) where u.verified = false to Admin;
R31,grant create on nodes (a:Account) to Clerk;
R32,deny traverse on nodes (a:Account) to Clerk;
R33,grant add{balance} on nodes (a:Account) to Clerk;
R34,deny read{balance} on nodes (a:Account) to Clerk;
R35,grant create on nodes (i:Invoice) to Finance;
R36,deny traverse on nodes (i:Invoice) where i.amount >= 5000 to Finance;
R37,grant add{amount} on nodes (i:Invoice) to Finance;
R38,grant read{amount} on nodes (i:Invoice) where i.approved = true to Finance;
R39,deny read{amount} on nodes (i:Invoice) to Finance;
R40,grant create on nodes (c:Contract) to Legal;
R41,deny traverse on nodes (c:Contract) to Legal;
R42,grant add{clause} on nodes (c:Contract) to Legal;
R43,deny read{clause} on nodes (c:Contract) to Legal;
R44,grant create on nodes (m:Message) to Support;
R45,grant traverse on nodes (m:Message) where m.channel = public to Support;
R46,deny traverse on nodes (m:Message) where m.channel = private to Support;
R47,grant add{tag} on nodes (m:Message) to Support;
R48,deny read{tag} on nodes (m:Message) to Support;
R49,grant create on nodes (l:Log) to Auditor;
R50,deny traverse on nodes (l:Log) to Auditor;
R51,grant add{entry} on nodes (l:Log) to Auditor;
R52,deny read{entry} on nodes (l:Log) to Auditor;
R53,grant create on nodes (e:Event) to Organizer;
R54,grant traverse on nodes (e:Event) where e.public = true to Organizer;
R55,deny traverse on nodes (e:Event) where e.public = false to Organizer;
R56,grant add{location} on nodes (e:Event) to Organizer;
R57,deny read{location} on nodes (e:Event) to Organizer;
R58,grant create on nodes (n:Notification) to System;
R59,deny traverse on nodes (n:Notification) to System;
R60,grant add{message} on nodes (n:Notification) to System;
R61,deny read{message} on nodes (n:Notification) to System;
R62,grant traverse on nodes (x:Archive) to Admin;
R63,grant read{*} on nodes (x:Archive) to Admin;
R64,grant add{*} on nodes (x:Archive) to Admin;
R65,grant create on nodes (s:Session) to User;
R66,grant add{token} on nodes (s:Session) to User;
R67,deny traverse on nodes (s:Session) to User;
R68,grant read{token} on nodes (s:Session) where s.active = true to User;
R69,deny read{token} on nodes (s:Session) to User;
R70,grant traverse on nodes (p:Profile) to User;
R71,grant read{name} on nodes (p:Profile) to User;
R72,grant add{name} on nodes (p:Profile) to User;
R73,grant create on nodes (f:File) to User;
R74,deny traverse on nodes (f:File) to User;
R75,grant add{content} on nodes (f:File) to User;
R76,deny read{content} on nodes (f:File) to User;
R77,grant create on nodes (k:Key) to Security;
R78,deny traverse on nodes (k:Key) to Security;
R79,grant add{value} on nodes (k:Key) to Security;
R80,deny read{value} on nodes (k:Key) to Security;
R81,grant create on nodes (b:Backup) to Operator;
R82,grant traverse on nodes (b:Backup) where b.state = active to Operator;
R83,deny traverse on nodes (b:Backup) where b.state = archived to Operator;
R84,grant add{checksum} on nodes (b:Backup) to Operator;
R85,deny read{checksum} on nodes (b:Backup) to Operator;
R86,grant create on nodes (q:Queue) to DevOps;
R87,deny traverse on nodes (q:Queue) to DevOps;
R88,grant add{size} on nodes (q:Queue) to DevOps;
R89,deny read{size} on nodes (q:Queue) to DevOps;
R90,grant traverse on nodes (h:Health) to Monitor;
R91,grant read{status} on nodes (h:Health) to Monitor;
R92,grant add{status} on nodes (h:Health) to Monitor;
R93,grant create on nodes (z:Zone) to Network;
R94,deny traverse on nodes (z:Zone) to Network;
R95,grant add{cidr} on nodes (z:Zone) to Network;
R96,deny read{cidr} on nodes (z:Zone) to Network;
R97,grant create on nodes (w:Workspace) to Collaborator;
R98,grant traverse on nodes (w:Workspace) where w.shared = true to Collaborator;
R99,deny traverse on nodes (w:Workspace) where w.shared = false to Collaborator;
